"Pdf Customiser by Fooman","Customizare Pdf de Fooman"
"Add your custom comments here to appear at the bottom of the Invoice Pdf. You could for example include bank account number and terms of payment.","Adăugaţi aici comentariul care va apărea în partea de jos a Facturii printate. Puteţi, de exemplu, include contul bancar şi modalitaţile de plată."
"Add your custom comments here to appear at the bottom of the Creditmemo Pdf","Adăugaţi aici comentariul care va apărea în partea de jos a Avizului de Returnare"
"Add your custom comments here to appear at the bottom of the Shipment Pdf","Adăugaţi aici comentariul care va apărea în partea de jos a Avizului de livrare a mărfii"
"Bottom Margin","Margine inferioară"
"Choose Helvetica, Times or Courier for smaller filesizes. Choose the Dejavu-Variants to support more characters (UTF-8).","Alegeţi Helvetica, Times sau Courier pentru pagini cu dimensiuni mai mici. Alegeţi Dejavu-Variants pentru mai multe caractere (UTF-8)."
"Credit Memo Title","Denumire Aviz de Returnare"
"Custom Text","Text opţional"
"Font","Set de caractere"
"Base Font Size","Dimensiune caractere"
"Invoice Title","Denumire Factură"
"Logo for the Pdf","Logo pentru documentele Pdf"
"Page Size","Dimensiune pagină"
"Shipment Title","Denumire Aviz de livrare"
"Side Margins","Margini laterale"
"Store Address","Adresă magazin"
"Tax Details","Detalii Taxe"
"Top Margin","Margine superioară"
"Which addresses should appear on the Credit Memo? Please note that downloadable product orders don't have a shipping address.","Ce adresă ar trebui să apară pe Avizul de Livrare? Aveţi în vedere că produsele downloadabile nu au adresă de livrare."
"Which addresses should appear on the invoice? Please note that downloadable product orders don't have a shipping address.","Ce adresă ar trebui să apară pe factură? Aveţi în vedere că produsele downloadabile nu au adresă de livrare."
"Which addresses should appear on the packing slip? Please note that downloadable product orders don't have a shipping address.","Ce adresă ar trebui să apară pe avizul de insoţire a mărfii? Aveţi în vedere că produsele downloadabile nu au adresă de livrare."
"A4","A4"
"letter","scrisoare"
"Billing Address only","Doar adresa de facturare"
"Shipping Address only","Doar adresa de livrare"
"Both Addresses","Ambele adrese"
"Courier","Curier"
"Times New Roman","Times New Roman"
"Helvetica","Helvetica"
"DejaVuSans","DejaVuSans"
"DejaVuSansMono","DejaVuSansMono"
"DejaVuSerif","DejaVuSerif"
"Digitally Sign Pdf","Adaugă semnătură digitală la fişierul Pdf"
"Signature","Semnătură"
"Copy the contents of your certificate/signature file including your private key here. Include everything from -----BEGIN RSA PRIVATE KEY----- to -----END CERTIFICATE-----","Copiaţi aici conţinutul fişierului cu certificatul/semnătura incluzând cheia personală de identificare. Includeţi integral textul dintre tagurile  -----BEGIN RSA PRIVATE KEY----- şi -----END CERTIFICATE-----"
"Password of Signature","Parola semnăturii"
"THSarabunPSK (Thai)","THSarabunPSK (Thai)"
"Add your custom comments here to appear at the bottom of the Order Pdf.","Adăugaţi aici comentariul care va aparea în partea de jos a Formularului de Comandă"
"Which addresses should appear on the order? Please note that downloadable product orders don't have a shipping address.","Ce adresă ar trebui să apară pe comandă? Aveţi în vedere că produsele downloadabile nu au adresă de livrare."
"Display","Afişează"
"None","Nimic"
"Product Image","Imagine produs"
"SKU Barcode","Cod de bare SKU"
"Display Quantity as full number","Display Quantity as full number"
"US","US"
"European","European"
"Customer Address Format","Customer Address Format"
"Display Base and Order Currency","Display Base and Order Currency"
"Delivery Date","Delivery Date"
"Display Delivery Date","Display Delivery Date"
"Displays the date of the invoice again. Needed in some jurisdictions.","Displays the date of the invoice again. Needed in some jurisdictions."
"Print Order History with Comments","Print Order History with Comments"
"Single - Shipping Address Label","Single - Shipping Address Label"
"Single - Billing Address Label","Single - Billing Address Label"
"Double - Both Addresses","Double - Both Addresses"
"Use Integrated Labels","Use Integrated Labels"
"Print Order as Packing Slip","Print Order as Packing Slip"
"Use this option if you would like to print packing slips without having to create shipments. You will however loose the ability to print the packing slips with the shipment number (the order number is used instead).","Use this option if you would like to print packing slips without having to create shipments. You will however loose the ability to print the packing slips with the shipment number (the order number is used instead)."
"Footer Block 1","Footer Block 1"
"Footer Block 2","Footer Block 2"
"Footer Block 3","Footer Block 3"
"Footer Block 4","Footer Block 4"
"Double - Shipping and Return Addresses","Double - Shipping and Return Addresses"
"Return Address","Return Address"
"Total Weight","Total Weight"
"Display Total Weight","Display Total Weight"
"kg","kg"
"Background Image for Pdf","Background Image for Pdf"
"Placement of Logo","Placement of Logo"
"Logo Width","Logo Width"
"Logo Height","Logo Height"
"Logo top-left Corner from the left","Logo top-left Corner from the left"
"Logo top-left Corner from the top","Logo top-left Corner from the top"
"automatic","automatic"
"no-scaling","no-scaling"
"manual","manual"
"Display Email Address","Display Email Address"
"Displays as part of the billing address.","Displays as part of the billing address."
"in milimeters","in milimeters"
