"Pdf Customiser by Fooman","Pdf Customiser av Fooman"
"Add your custom comments here to appear at the bottom of the Invoice Pdf. You could for example include bank account number and terms of payment.","Egendefinert tekst som fremkommer nederst på Faktura. Du kan for eksempel inkludere bankkontonummer og betalingsbetingelser."
"Add your custom comments here to appear at the bottom of the Creditmemo Pdf","Egendefinert tekst som fremkommer nederst på Kreditnota"
"Add your custom comments here to appear at the bottom of the Shipment Pdf","Egendefinert tekst som fremkommer nederst på Pakkseddel"
"Bottom Margin","Nedre marg"
"Choose Helvetica, Times or Courier for smaller filesizes. Choose the Dejavu-Variants to support more characters (UTF-8).","Velg Helvetica, Times eller Courier for mindre filstørrelser. Velg Dejavu-Variantene for å støtte flere tegnsett (UTF-8)."
"Credit Memo Title","Kreditnota tittel"
"Custom Text","Egendefinert tekst"
"Font","Font"
"Base Font Size","Fontstørrelse"
"Invoice Title","Faktura tittel"
"Logo for the Pdf","Logo for Pdf utskrift"
"Page Size","Sidestørrelse"
"Shipment Title","Forsendelse Tittel"
"Side Margins","Sidemarg"
"Store Address","Butikk adresse"
"Tax Details","Skattdetaljer"
"Top Margin","Topp marg"
"Which addresses should appear on the Credit Memo? Please note that downloadable product orders don't have a shipping address.","Hvilke adresser skal stå på kreditnotaen? Merk at nedlastbare produkter ikke har leveringsadresse."
"Which addresses should appear on the invoice? Please note that downloadable product orders don't have a shipping address.","Hvilke adresser skal stå på fakturaen? Merk at nedlastbare produkter ikke har leveringsadresse."
"Which addresses should appear on the packing slip? Please note that downloadable product orders don't have a shipping address.","Hvilke adresser skal stå på pakkseddelen? Merk at nedlastbare produkter ikke har leveringsadresse."
"A4","A4"
"letter","brev"
"Billing Address only","Kun fakturaadresse"
"Shipping Address only","Kun leveringsadresse"
"Both Addresses","Begge adresser"
"Courier","Courier"
"Times New Roman","Times New Roman"
"Helvetica","Helvetica"
"DejaVuSans","DejaVuSans"
"DejaVuSansMono","DejaVuSansMono"
"DejaVuSerif","DejaVuSerif"
"Digitally Sign Pdf","Signer Pdf digitalt"
"Signature","Signatur"
