"Pdf Customiser by Fooman","Pdf Customiser av Fooman"
"Add your custom comments here to appear at the bottom of the Invoice Pdf. You could for example include bank account number and terms of payment.","Egendefinert tekst som fremkommer nederst p� Faktura. Du kan for eksempel inkludere bankkontonummer og betalingsbetingelser."
"Add your custom comments here to appear at the bottom of the Creditmemo Pdf","Egendefinert tekst som fremkommer nederst p� Kreditnota"
"Add your custom comments here to appear at the bottom of the Shipment Pdf","Egendefinert tekst som fremkommer nederst p� Pakkseddel"
"Bottom Margin","Nedre marg"
"Choose Helvetica, Times or Courier for smaller filesizes. Choose the Dejavu-Variants to support more characters (UTF-8).","Velg Helvetica, Times eller Courier for mindre filst�rrelser. Velg Dejavu-Variantene for � st�tte flere tegnsett (UTF-8)."
"Credit Memo Title","Kreditnota tittel"
"Custom Text","Egendefinert tekst"
"Font","Font"
"Base Font Size","Fontst�rrelse"
"Invoice Title","Faktura tittel"
"Logo for the Pdf","Logo for Pdf utskrift"
"Page Size","Sidest�rrelse"
"Shipment Title","Forsendelse Tittel"
"Side Margins","Sidemarg"
"Store Address","Butikk adresse"
"Tax Details","Skattdetaljer"
"Top Margin","Topp marg"
"Which addresses should appear on the Credit Memo? Please note that downloadable product orders don't have a shipping address.","Hvilke adresser skal st� p� kreditnotaen? Merk at nedlastbare produkter ikke har leveringsadresse."
"Which addresses should appear on the invoice? Please note that downloadable product orders don't have a shipping address.","Hvilke adresser skal st� p� fakturaen? Merk at nedlastbare produkter ikke har leveringsadresse."
"Which addresses should appear on the packing slip? Please note that downloadable product orders don't have a shipping address.","Hvilke adresser skal st� p� pakkseddelen? Merk at nedlastbare produkter ikke har leveringsadresse."
"A4","A4"
"letter","brev"
"Billing Address only","Kun fakturaadresse"
"Shipping Address only","Kun leveringsadresse"
"Both Addresses","Begge adresser"
"Courier","Courier"
"Times New Roman","Times New Roman"
"Helvetica","Helvetica"
"DejaVuSans","DejaVuSans"
"DejaVuSansMono","DejaVuSansMono"
"DejaVuSerif","DejaVuSerif"
"Digitally Sign Pdf","Sign�r Pdf digitalt"
"Signature","Signatur"
"Copy the contents of your certificate/signature file including your private key here. Include everything from -----BEGIN RSA PRIVATE KEY----- to -----END CERTIFICATE-----","Kopier innholdet av ditt sertifikat/signaturfil inkludert din private n�kkel her. Inkluder alt fra  -----BEGIN RSA PRIVATE KEY----- til -----END CERTIFICATE-----"
"Password of Signature","Signaturpassord"
"THSarabunPSK (Thai)","THSarabunPSK (Thai)"
"Add your custom comments here to appear at the bottom of the Order Pdf.","Egendefinert tekst som fremkommer nederst p� ordrebekreftelsen."
"Which addresses should appear on the order? Please note that downloadable product orders don't have a shipping address.","Hvilke adresser skal st� p� ordren? Merk at nedlastbare produkter ikke har leveringsadresse."
"Display","Visning"
"None","Ingen"
"Product Image","Produktbilde"
"SKU Barcode","SKU strekkode"
"Display Quantity as full number","Vis antall som helt tall"
"US","US"
"European","Europeisk"
"Customer Address Format","Kundeadresse format"
"Display Base and Order Currency","Vis basis og ordre valuta"
"Delivery Date","Leveringsdato"
"Display Delivery Date","Vis Leveringsdato"
"Displays the date of the invoice again. Needed in some jurisdictions.","Viser fakturadato p� ny. Kreves i enkelte omr�der."
"Print Order History with Comments","Skriv ut ordrehistorikk med kommentarer"
"Single - Shipping Address Label","Enkel - Leveringsadresseetikett"
"Single - Billing Address Label","Enkel - Fakturaadresseetikett"
"Double - Both Addresses","Dobbel - begge adresser"
"Use Integrated Labels","Bruk integrerte etiketter"
"Print Order as Packing Slip","Print Order as Packing Slip"
"Use this option if you would like to print packing slips without having to create shipments. You will however loose the ability to print the packing slips with the shipment number (the order number is used instead).","Use this option if you would like to print packing slips without having to create shipments. You will however loose the ability to print the packing slips with the shipment number (the order number is used instead)."
"Footer Block 1","Footer Block 1"
"Footer Block 2","Footer Block 2"
"Footer Block 3","Footer Block 3"
"Footer Block 4","Footer Block 4"
"Double - Shipping and Return Addresses","Double - Shipping and Return Addresses"
"Return Address","Return Address"
"Total Weight","Total Weight"
"Display Total Weight","Display Total Weight"
"kg","kg"
"Background Image for Pdf","Background Image for Pdf"
"Placement of Logo","Placement of Logo"
"Logo Width","Logo Width"
"Logo Height","Logo Height"
"Logo top-left Corner from the left","Logo top-left Corner from the left"
"Logo top-left Corner from the top","Logo top-left Corner from the top"
"automatic","automatic"
"no-scaling","no-scaling"
"manual","manual"
"Display Email Address","Display Email Address"
"Displays as part of the billing address.","Displays as part of the billing address."
"in milimeters","in milimeters"
"Display Row Subtotal Including Tax","Display Row Subtotal Including Tax"
"is only effective if Tax > Orders, Invoices, Creditmemos Display Settings > Prices is set to not display taxes","is only effective if Tax > Orders, Invoices, Creditmemos Display Settings > Prices is set to not display taxes"
"Grand Total is tax inclusive","Grand Total is tax inclusive"
"Display only one Grand Total","Display only one Grand Total"
"Display detailed Tax Summary","Display Detailed Tax Summary"
"Columns","Columns"
"Columns Advanced","Columns Advanced"
"Display Background only on first page","Display Background only on first page"
"Display Page Number","Display Page Number"
"Custom Column","Custom Column"
"Custom Column Attribute","Custom Column Attribute"
"Base Amount","Base Amount"
"Select up to 5 attributes.","Select up to 5 attributes."
"Position","Position"
"Pos","Pos"
"right","Right"
"left","Left"
"Display Pdf in New Window","Display Pdf in New Window"
"Weight Unit","Weight Unit"
"Barcode Type","Barcode Type"
"Pdf Totals Sort Order","Pdf Totals Sort Order"
"Upload Custom Font","Upload Custom Font"
"Don't Use","Don't Use"
"Custom Label Left - Shipping Address","Custom Label Left - Shipping Address"
"Custom Label Right - Shipping Address","Custom Label Right - Shipping Address"
"Custom Label Left - Billing Address","Custom Label Left - Billing Address"
"Custom Label Right - Billing Address","Custom Label Right - Billing Address"
"Display Salesrule instead of Coupon Code","Display Salesrule instead of Coupon Code"
"Combines Gift Wrapping for Orders, Items and Printed Cards","Combines Gift Wrapping for Orders, Items and Printed Cards"
"Sort by Column","Sort by Column"
"Use Alternative Layout","Use Alternative Layout"
"Please make sure the barcode type is appropriate for the content or the pdf generation might fail (Default: CODE 39 EXTENDED + CHECKSUM).","Please make sure the barcode type is appropriate for the content or the pdf generation might fail (Default: CODE 39 EXTENDED + CHECKSUM)."
"Double - Shipping and Store Addresses","Double - Shipping and Store Addresses"
"Double - Shipping with Store Addresses and Image", "Double - Shipping with Store Addresses and Image"
