"Pdf Customiser by Fooman","Pdf Customiser van Fooman"
"Add your custom comments here to appear at the bottom of the Invoice Pdf. You could for example include bank account number and terms of payment.","Voeg hier uw eigen commentaar toe dat onderaan de factuur wordt geprint, bijvoorbeeld uw bankrekeningnummer en betalingsvoorwaarden"
"Add your custom comments here to appear at the bottom of the Creditmemo Pdf","Voeg hier uw eigen commentaar toe dat onderaan de creditnota wordt geprint"
"Add your custom comments here to appear at the bottom of the Shipment Pdf","Voeg hier uw eigen commentaar toe dat onderaan de pakbon wordt geprint"
"Bottom Margin","Marge onderkant"
"Choose Helvetica, Times or Courier for smaller filesizes. Choose the Dejavu-Variants to support more characters (UTF-8).","Kies Helvetica, Times of Courier om het bestand klein te houden. Kies Dejavu-lettertypes voor ondersteuning van meer tekens (UTF-8)."
"Credit Memo Title","Titel creditnota"
"Custom Text","Aangepaste tekst"
"Font","Lettertype"
"Base Font Size","Tekengrootte"
"Invoice Title","Titel factuur"
"Logo for the Pdf","Logo voor de Pdf Uitdraaien"
"Page Size","Paginaformaat"
"Shipment Title","Titel verzending"
"Side Margins","Marge zijkant"
"Store Address","Winkeladres"
"Tax Details","Belastinggegevens"
"Top Margin","Marge bovenkant"
"Which addresses should appear on the Credit Memo? Please note that downloadable product orders don't have a shipping address.","Welke adressen moeten er verschijnen op de creditnota? (Let op: bestellingen van downloadbare producten hebben geen verzendadres.)"
"Which addresses should appear on the invoice? Please note that downloadable product orders don't have a shipping address.","Welke adressen moeten er verschijnen op de factuur? (Let op: bestellingen van downloadbare producten hebben geen verzendadres.)"
"Which addresses should appear on the packing slip? Please note that downloadable product orders don't have a shipping address.","Welke adressen moeten er verschijnen op de pakbon? (Let op: bestellingen van downloadbare producten hebben geen verzendadres.)"
"A4","A4"
"letter","brief"
"Billing Address only","Alleen factuuradres"
"Shipping Address only","Alleen verzendadres"
"Both Addresses","Beide adressen"
"Courier","Courier"
"Times New Roman","Times New Roman"
"Helvetica","Helvetica"
"DejaVuSans","DejaVuSans"
"DejaVuSansMono","DejaVuSansMono"
"DejaVuSerif","DejaVuSerif"
"Digitally Sign Pdf","Pdf digitaal ondertekenen"
"Signature","Handtekening"
"Copy the contents of your certificate/signature file including your private key here. Include everything from -----BEGIN RSA PRIVATE KEY----- to -----END CERTIFICATE-----","Kopieer de inhoud van uw certificaat/handtekening-bestand inclusief uw priv&eacute;-sleutel hier. Kopieer alles van -----BEGIN RSA PRIVATE KEY----- tot -----END CERTIFICATE-----"
"Password of Signature","Wachtwoord van Handtekening"
"THSarabunPSK (Thai)","THSarabunPSK (enkel voor Thailand)"
"Add your custom comments here to appear at the bottom of the Order Pdf.","Voeg hier uw eigen commentaar toe dat onderaan de orderbevestiging wordt geprint "
"Which addresses should appear on the order? Please note that downloadable product orders don't have a shipping address.","Welke adressen moeten er verschijnen op de orderbevestiging? (Let op: bestellingen van downloadbare producten hebben geen verzendadres.)"
"Display","Tonen"
"None","Geen"
"Product Image","Productafbeelding"
"SKU Barcode","Barcode van artikel"
"Display Quantity as full number","Toon hoeveelheid als heel getal"
"US","V.S."
"European","Europees"
"Customer Address Format","Opmaak Adres Klant"
"Display Base and Order Currency","Toon Basis en Order Valuta"
"Delivery Date","Afleverdatum"
"Display Delivery Date","Toon Afleverdatum"
