"Pdf Customiser by Fooman","Pdf Customiser sukurta Fooman"
"Add your custom comments here to appear at the bottom of the Invoice Pdf. You could for example include bank account number and terms of payment.","Pridėkite savo komentarą, jei norite, kad jis atsirastų Sąskaitos faktūros apačioje. Jūs galite nurodyti banko sąskaitos nr., apmokėjimo taisykles ar panašią informaciją."
"Add your custom comments here to appear at the bottom of the Creditmemo Pdf","Pridėkite savo komentarą, jei norite, kad jis atsirastų Kreditinės sąskaitos apačioje."
"Add your custom comments here to appear at the bottom of the Shipment Pdf","Pridėkite savo komentarą, jei norite, kad jis atsirastų Važtaraščio apačioje."
"Bottom Margin","Apatinė paraštė"
"Choose Helvetica, Times or Courier for smaller filesizes. Choose the Dejavu-Variants to support more characters (UTF-8).","Pasirinkite Helvetica, Times or Courier nedideliems failo dydžiams. Pasirinkite iš Dejavu variantų, jei reikia daugelio simbolių palaikymo (UTF-8)."
"Credit Memo Title","Kreditinės Sąskaitos antraštė"
"Custom Text","Jūsų tekstas"
"Font","Šriftas"
"Base Font Size","Šrifto dydis"
"Invoice Title","Sąskaitos faktūros antraštė"
"Logo for the Pdf","Pdf sąskaitų logotipas"
"Page Size","Puslapio dydis"
"Shipment Title","Važtaraščio antraštė"
"Side Margins","Šoninės paraštės"
"Store Address","Parduotuvės adresas"
"Tax Details","Informacija apie mokesčius"
"Top Margin","Viršutinė paraštė"
"Which addresses should appear on the Credit Memo? Please note that downloadable product orders don't have a shipping address.","Kuris adresas turi būti naudojamas Kreditinėje sąskaitoje? Prašome atkreipti dėmesį, kad parsisiunčiami produktai neturi pristatymo adreso."
"Which addresses should appear on the invoice? Please note that downloadable product orders don't have a shipping address.","Kuris adresas turi būti naudojamas Sąskaitoje? Prašome atkreipti dėmesį, kad parsisiunčiami produktai neturi pristatymo adreso."
"Which addresses should appear on the packing slip? Please note that downloadable product orders don't have a shipping address.","Kuris adresas turi būti naudojamas Važtaraštyje? Prašome atkreipti dėmesį, kad parsisiunčiami produktai neturi pristatymo adreso."
"A4","A4"
"letter","laiškas"
"Billing Address only","Tik mokėtojo adresas"
"Shipping Address only","Tik pristatymo adresas"
"Both Addresses","Mokėtojo ir pristatymo adresai"
"Courier","Courier"
"Times New Roman","Times New Roman"
"Helvetica","Helvetica"
"DejaVuSans","DejaVuSans"
"DejaVuSansMono","DejaVuSansMono"
"DejaVuSerif","DejaVuSerif"
"Digitally Sign Pdf","Elektroniniu būdu pasirašytas Pdf dokumentas"
"Signature","El. parašas"
"Copy the contents of your certificate/signature file including your private key here. Include everything from -----BEGIN RSA PRIVATE KEY----- to -----END CERTIFICATE-----","Nukopijuokite savo parašo/sertifikato turinį įskaitant Jūsų privatų raktą. Įtraukite viską nuo -----BEGIN RSA PRIVATE KEY----- iki -----END CERTIFICATE-----"
"Password of Signature","El. parašo slaptažodis"
"THSarabunPSK (Thai)","THSarabunPSK (Thai)"
"Add your custom comments here to appear at the bottom of the Order Pdf.","Pridėkite savo komentarą, jei norite, kad jis atsirastų Užsakymo apačioje."
"Which addresses should appear on the order? Please note that downloadable product orders don't have a shipping address.","Kuris adresas turi būti naudojamas Užsakymo lape? Prašome atkreipti dėmesį, kad parsisiunčiami produktai neturi pristatymo adreso."
"Display","Rodyti"
"None","Nėra"
"Product Image","Produkto nuotrauka"
"SKU Barcode","Produkto kodas (Barkodas)"
"Display Quantity as full number","Rodyti kiekį kaip dešimtainę trupmeną"
"US","US"
"European","EU"
