"Pdf Customiser by Fooman","FOOMAN制定Pdf格式化"
"Add your custom comments here to appear at the bottom of the Invoice Pdf. You could for example include bank account number and terms of payment.","在這裡加入自定義的意見並於發單打印文件底部顯示, 可包括銀行帳戶號碼及付款細則"
"Add your custom comments here to appear at the bottom of the Creditmemo Pdf","在這裡加入自定義的意見並於信用備忘錄打印文件底部顯示"
"Add your custom comments here to appear at the bottom of the Shipment Pdf","在這裡加入自定義的意見並於送貨打印文件底部顯示"
"Bottom Margin","下邊外補白"
"Choose Helvetica, Times or Courier for smaller filesizes. Choose the Dejavu-Variants to support more characters (UTF-8).","如小型字體文件應選擇Helvetica, Times or Courier. 選擇 Dejavu-Variants以支援更多文體 (UTF-8)."
"Credit Memo Title","信用備忘錄標題"
"Custom Text","自定義文本"
"Font","字體"
"Base Font Size","字體大小"
"Invoice Title","發票標題"
"Logo for the Pdf","用於Pdf格式文件之商標"
"Page Size","頁面大小"
"Shipment Title","送運名稱"
"Side Margins","左右邊外補白"
"Store Address","專賣店地址"
"Tax Details","稅務詳情"
"Top Margin","上邊外補白"
"Which addresses should appear on the Credit Memo? Please note that downloadable product orders don't have a shipping address.","哪個地址應出現在信用備忘錄？請注意，可供下載之產品訂單並沒有一個送貨地址。"
"Which addresses should appear on the invoice? Please note that downloadable product orders don't have a shipping address.","哪個地址應出現在發單？請注意，可供下載之產品訂單並沒有一個送貨地址。"
"Which addresses should appear on the packing slip? Please note that downloadable product orders don't have a shipping address.","哪個地址應出現在送貨單？請注意，可供下載之產品訂單並沒有一個送貨地址。"
"A4","A4"
"letter","信件"
"Billing Address only","只限帳單地址"
"Shipping Address only","只限送貨地址"
"Both Addresses","帳單地址以及送貨地址"
"Courier","Courier"
"Times New Roman","Times New Roman"
"Helvetica","Helvetica"
"DejaVuSans","DejaVuSans"
"DejaVuSansMono","DejaVuSansMono"
"DejaVuSerif","DejaVuSerif"
"Digitally Sign Pdf","Pdf格式進行電子簽名"
"Signature","簽名"
