"Pdf Customiser by Fooman","Pdf Pielāgotājs no Fooman"
"Add your custom comments here to appear at the bottom of the Invoice Pdf. You could for example include bank account number and terms of payment.","Pievienojiet papildus komentārus šeit. Komentāri būs redzami rēķina izdrukas apakšā. Jūs varat iekļaut, piemēram, bankas konta informāciju un apmaksas nosacījumus."
"Add your custom comments here to appear at the bottom of the Creditmemo Pdf","Pievienojiet papildus komentārus šeit. Komentāri būs redzami rēķina izdrukas apakšā"
"Add your custom comments here to appear at the bottom of the Shipment Pdf","Pievienojiet papildus komentārus šeit. Komentāri būs redzami piegādes izdrukas apakšā"
"Bottom Margin","Apakšējā robeža"
"Choose Helvetica, Times or Courier for smaller filesizes. Choose the Dejavu-Variants to support more characters (UTF-8).","Izvēlieties Helvetica, Times or Courier mazākam faila izmēram. Izvēlieties Dejavu variantus, ja lietojat ne tikai latīņu simbolus (UTF-8)."
"Credit Memo Title","Pirkuma piezīmju virsraksts"
"Custom Text","Papildu teksts"
"Font","Šrifts"
"Base Font Size","Šrifta izmērs"
"Invoice Title","Rēķina virsraksts"
"Logo for the Pdf","Zīmols Pdf izdrukām"
"Page Size","Lapas izmērs"
"Shipment Title","Piegādes virsraksts"
"Side Margins","Sānu robežas"
"Store Address","Veikala adrese"
"Tax Details","Nodokļu informācija"
"Top Margin","Augšējā robeža"
"Which addresses should appear on the Credit Memo? Please note that downloadable product orders don't have a shipping address.","Kuras adreses ir jānorāda pirkuma piezīmēs? Atcerieties, ka lejupielādējamu produktu pasūtījumiem piegādes adrese netiek norādīta."
"Which addresses should appear on the invoice? Please note that downloadable product orders don't have a shipping address.","Kuras adreses ir jānorāda rēķinā? Atcerieties, ka lejupielādējamu produktu pasūtījumiem piegādes adrese netiek norādīta."
"Which addresses should appear on the packing slip? Please note that downloadable product orders don't have a shipping address.","Kuras adreses ir jānorāda iepakošanas ieliktnī? Atcerieties, ka lejupielādējamu produktu pasūtījumiem piegādes adrese netiek norādīta."
"A4","A4"
"letter","letter"
"Billing Address only","Tikai rēķina adrese"
"Shipping Address only","Tikai piegādes adrese"
"Both Addresses","Abas adreses"
"Courier","Courier"
"Times New Roman","Times New Roman"
"Helvetica","Helvetica"
"DejaVuSans","DejaVuSans"
"DejaVuSansMono","DejaVuSansMono"
"DejaVuSerif","DejaVuSerif"
"Digitally Sign Pdf","Digitāli parakstīt Pdf"
"Signature","Paraksts"
"Copy the contents of your certificate/signature file including your private key here. Include everything from -----BEGIN RSA PRIVATE KEY----- to -----END CERTIFICATE-----","Kopējiet sava sertifikāta/paraksta faila saturu, iekļaujot arī slepeno atslēgu, šeit. Iekļaujiet visu robežās no -----BEGIN RSA PRIVATE KEY----- līdz -----END CERTIFICATE-----"
"Password of Signature","Paraksta parole"
"THSarabunPSK (Thai)","THSarabunPSK (Thai)"
"Add your custom comments here to appear at the bottom of the Order Pdf.","Pievienojiet papildus komentārus šeit. Komentāri būs redzami pasūtījuma izdrukas apakšā."
"Which addresses should appear on the order? Please note that downloadable product orders don't have a shipping address.","Kuras adreses ir jānorāda pasūtījumā? Atcerieties, ka lejupielādējamu produktu pasūtījumiem piegādes adrese netiek norādīta."
"Display","Rādīt"
"None","Neviens"
"Product Image","Preces attēls"
"SKU Barcode","SKU svītrkods"
"Display Quantity as full number","Rādīt daudzumu kā veselu numuru"
"US","ASV"
"European","Eiropas"
"Customer Address Format","Klienta adreses formāts"
"Display Base and Order Currency","Rādīt pamatvalūtu un pasūtījuma valūtu"
"Delivery Date","Piegādes datums"
"Display Delivery Date","Rādīt piegādes datumu"
"Displays the date of the invoice again. Needed in some jurisdictions.","Norāda rēķina datumu vēlreiz. Nepieciešams valstīs/teritorijās ar attiecīgu likumdošanu."
"Print Order History with Comments","Drukāt pasūtījuma vēsturi ar komentāriem"
"Single - Shipping Address Label","Vienkārša - piegādes adreses etiķete"
"Single - Billing Address Label","Vienkārša - rēķina adreses etiķete"
"Double - Both Addresses","Dubulta - abas adrese"
"Use Integrated Labels","Lietot iekļautas etiķetes"
"Print Order as Packing Slip","Drukāt pasūtījumu kā iepakojuma ieliktni"
"Use this option if you would like to print packing slips without having to create shipments. You will however loose the ability to print the packing slips with the shipment number (the order number is used instead).","Izmantojiet šo iespēju, ja vēlaties drukāt iepakošanas ieliktņus bez piegādes izdruku izveides. Atcerieties tomēr, ka tad Jūs nevarēsiet drukāt iepakojuma izdrukas ar piegādes numuru (tā vietā tiks lietots pasūtījuma numurs)."
"Footer Block 1","Kājenes 1. bloks"
"Footer Block 2","Kājenes 2. bloks"
"Footer Block 3","Kājenes 3. bloks"
"Footer Block 4","Kājenes 4. bloks"
"Double - Shipping and Return Addresses","Double - Shipping and Return Addresses"
"Return Address","Return Address"
"Total Weight","Total Weight"
"Display Total Weight","Display Total Weight"
"kg","kg"
"Background Image for Pdf","Background Image for Pdf"
"Placement of Logo","Placement of Logo"
"Logo Width","Logo Width"
"Logo Height","Logo Height"
"Logo top-left Corner from the left","Logo top-left Corner from the left"
"Logo top-left Corner from the top","Logo top-left Corner from the top"
"automatic","automatic"
"no-scaling","no-scaling"
"manual","manual"
"Display Email Address","Display Email Address"
"Displays as part of the billing address.","Displays as part of the billing address."
"in milimeters","in milimeters"
"Display Row Subtotal Including Tax","Display Row Subtotal Including Tax"
"is only effective if Tax > Orders, Invoices, Creditmemos Display Settings > Prices is set to not display taxes","is only effective if Tax > Orders, Invoices, Creditmemos Display Settings > Prices is set to not display taxes"
"Grand Total is tax inclusive","Grand Total is tax inclusive"
"Display only one Grand Total","Display only one Grand Total"
"Display detailed Tax Summary","Display Detailed Tax Summary"
"Columns","Columns"
"Columns Advanced","Columns Advanced"
"Display Background only on first page","Display Background only on first page"
"Display Page Number","Display Page Number"
"Custom Column","Custom Column"
"Custom Column Attribute","Custom Column Attribute"
"Base Amount","Base Amount"
"Select up to 5 attributes.","Select up to 5 attributes."
"Position","Position"
"Pos","Pos"
"right","Right"
"left","Left"
"Display Pdf in New Window","Display Pdf in New Window"
"Weight Unit","Weight Unit"
"Barcode Type","Barcode Type"
"Pdf Totals Sort Order","Pdf Totals Sort Order"
"Upload Custom Font","Upload Custom Font"
"Don't Use","Don't Use"
"Custom Label Left - Shipping Address","Custom Label Left - Shipping Address"
"Custom Label Right - Shipping Address","Custom Label Right - Shipping Address"
"Custom Label Left - Billing Address","Custom Label Left - Billing Address"
"Custom Label Right - Billing Address","Custom Label Right - Billing Address"
"Display Salesrule instead of Coupon Code","Display Salesrule instead of Coupon Code"
"Combines Gift Wrapping for Orders, Items and Printed Cards","Combines Gift Wrapping for Orders, Items and Printed Cards"
"Sort by Column","Sort by Column"
"Use Alternative Layout","Use Alternative Layout"
"Please make sure the barcode type is appropriate for the content or the pdf generation might fail (Default: CODE 39 EXTENDED + CHECKSUM).","Please make sure the barcode type is appropriate for the content or the pdf generation might fail (Default: CODE 39 EXTENDED + CHECKSUM)."
"Double - Shipping and Store Addresses","Double - Shipping and Store Addresses"
"Double - Shipping with Store Addresses and Image", "Double - Shipping with Store Addresses and Image"
