"Invoice (notify Customer)","Factuur aanmaken (klant mailen)"
"Invoice (don't notify Customer)","Factuur aanmaken (klant NIET mailen)"
"Invoice / Print (notify Customer)","Factuur aanmaken / Afdrukken (klant mailen)"
"Invoice / Print (don't notify Customer)","Factuur aanmaken / Afdrukken (klant NIET mailen)"
"Ship (notify Customer)","Verzending aanmaken (klant mailen)"
"Ship (don't notify Customer)","Verzending aanmaken (klant NIET mailen)"
"Ship / Print (notify Customer)","Verzending aanmaken / Afdrukken (klant mailen)"
"Ship / Print (don't notify Customer)","Verzending aanmaken / Afdrukken (klant NIET mailen)"
"Invoice / Ship (notify Customer)","Factuur en verzending aanmaken (klant mailen)"
"Invoice / Ship (don't notify Customer)","Factuur en verzending aanmaken (klant NIET mailen)"
"Invoice / Ship / Print (notify Customer)","Factuur en verzending aanmaken / Afdrukken (klant mailen)"
"Invoice / Ship / Print (don't notify Customer)","Factuur en verzending aanmaken / Afdrukken (klant NIET mailen)"
"Invoice / Ship / Complete (notify Customer)","Factuur en verzending aanmaken / Order completeren (klant mailen)"
"Invoice / Ship / Complete (don't notify Customer)","Factuur en verzending aanmaken / Order completeren (klant NIET mailen)"
"Invoice / Ship / Complete / Print (notify Customer)","Factuur en verzending aanmaken / Afdrukken / Order completeren (klant mailen)"
"Invoice / Ship / Complete / Print (don't notify Customer)","Factuur en verzending aanmaken / Afdrukken / Order completeren (klant NIET mailen)"
"Complete Order","Order completeren"
"Set Order Status to '%s'","Zet order status op '%s'"
"Delete Order (canceled-only)","Verwijder bestelling (alleen geannuleerde orders)"
