"Pdf Customiser by Fooman","푸만(Fooman) Pdf 수정"
"Add your custom comments here to appear at the bottom of the Invoice Pdf. You could for example include bank account number and terms of payment.","요청 사항을 입력하십시오. 송장의 하단에 나타나는 메시지입니다. 예: 은행계좌번호"
"Add your custom comments here to appear at the bottom of the Creditmemo Pdf","요청 사항을 입력하십시오. 환불메모의 하단부분에 나타나는 메시지입니다."
"Add your custom comments here to appear at the bottom of the Shipment Pdf","배송관련 요청 사항을 입력하십시오. 배송장의 하단부분에 나타나는 메시지입니다."
"Bottom Margin","하단 마진(빈공간)"
"Choose Helvetica, Times or Courier for smaller filesizes. Choose the Dejavu-Variants to support more characters (UTF-8).","작은 파일사이즈는 Helvetica, Times 혹은 Courier 폰트를 사용하십시오. 더욱 많은 문자 지원을 원하시면 Dejavu-Variants 폰트를 이용하십시오. (UTF-8)"
"Credit Memo Title","환불 메모 제목"
"Custom Text","특별 문자"
"Font","폰트"
"Base Font Size","폰트 사이즈"
"Invoice Title","송장 제목"
"Logo for the Pdf","Pdf 인쇄용 로고"
"Page Size","용지 크기"
"Shipment Title","배송 제목"
"Side Margins","측면 마진(빈공간)"
"Store Address","상점 주소"
"Tax Details","세금 내용"
"Top Margin","상단 마진(빈공간)"
"Which addresses should appear on the Credit Memo? Please note that downloadable product orders don't have a shipping address.","환불 메모에 어떤 주소를 인쇄하겠습니까? 다운로드용 상품 주문은 배송 주소가 없습니다."
"Which addresses should appear on the invoice? Please note that downloadable product orders don't have a shipping address.","송장에 어떤 주소를 인쇄하겠습니까? 다운로드용 상품 주문은 배송 주소가 없습니다."
"Which addresses should appear on the packing slip? Please note that downloadable product orders don't have a shipping address.","패킹슬립에 어떤 주소를 인쇄하겠습니까? 다운로드용 상품 주문은 배송 주소가 없습니다."
"A4","A4"
"letter","레터 8.5 x 11"
"Billing Address only","송장 주소만 입력하세요"
"Shipping Address only","배송 주소만 입력하세요"
"Both Addresses","모든 주소"
"Courier","Courier"
"Times New Roman","Times New Roman"
"Helvetica","Helvetica"
"DejaVuSans","DejaVuSans"
"DejaVuSansMono","DejaVuSansMono"
"DejaVuSerif","DejaVuSerif"
"Digitally Sign Pdf","디지털 서명 Pdf"
"Signature","서명"
"Copy the contents of your certificate/signature file including your private key here. Include everything from -----BEGIN RSA PRIVATE KEY----- to -----END CERTIFICATE-----","서명 파일에 있는 Private Key 내용을 포함하여 여기에 붙여넣기 하십시오. -----BEGIN RSA PRIVATE KEY----- 내용부터 -----END CERTIFICATE----- 까지 복사/붙여넣기 하십시오."
"Password of Signature","서명의 비밀번호"
"THSarabunPSK (Thai)","THSarabunPSK (태국어)"
"Add your custom comments here to appear at the bottom of the Order Pdf.","주문서 하단에 인쇄될 메시지를 입력하세요."
"Which addresses should appear on the order? Please note that downloadable product orders don't have a shipping address.","주문서에 인쇄될 주소를 기입해주세요. 다운로드용 상품 주문은 배송 주소가 없습니다."
"Display","표시"
"None","없음"
"Product Image","상품 이미지"
"SKU Barcode","SKU 바코드"
"Display Quantity as full number","상품수 정수로 표시"
"US","미국"
"European","유럽"
"Customer Address Format","손님 주소 형식"
"Display Base and Order Currency","베이스와 주문 통화 표시"
"Delivery Date","배송 날짜"
"Display Delivery Date","배송 날짜 표시"
"Displays the date of the invoice again. Needed in some jurisdictions.","송장 주소를 다시 표시합니다. 일부 관할에서는 필수입니다."
"Print Order History with Comments","지난 주문 내역에 포함된 메시지와 함께 인쇄하기"
"Single - Shipping Address Label","낱개 - 배송 주소 라벨"
"Single - Billing Address Label","낱개 - 송장 주소 라벨"
"Double - Both Addresses","두개 - 모든 주소"
"Use Integrated Labels","통합 라벨 사용"
"Print Order as Packing Slip","주문을 패킹리스트로 인쇄하기"
"Use this option if you would like to print packing slips without having to create shipments. You will however loose the ability to print the packing slips with the shipment number (the order number is used instead).","배송장을 제작하지 않고 패킹슬립 인쇄. (주위: 배송번호대신 주문번호가 사용되어 패킹리스트가 인쇄됩니다.)"
"Footer Block 1","푸터 블락 1"
"Footer Block 2","푸터 블락 2"
"Footer Block 3","푸터 블락 3"
"Footer Block 4","푸터 블락 4"
"Double - Shipping and Return Addresses","두개 - 배송과 반송 주소"
"Return Address","반송 주소"
"Total Weight","총 무게"
"Display Total Weight","총 무게 표시"
"kg","kg"
"Background Image for Pdf","Pdf 인쇄용 배경 이미지"
"Placement of Logo","로고 대체"
"Logo Width","로고 넓이"
"Logo Height","로고 높이"
"Logo top-left Corner from the left","로고 상단-좌측 코너에서 좌측"
"Logo top-left Corner from the top","로고 상단-좌측 코너에서 상단"
"automatic","자동"
"no-scaling","스케일 없애기"
"manual","수동"
"Display Email Address","이메일 주소 표시"
"Displays as part of the billing address.","송장 주소의 일부로 표시"
"in milimeters","밀리미터로 표기"
"Display Row Subtotal Including Tax","세금을 포함한 총 합계 표시"
"is only effective if Tax > Orders, Invoices, Creditmemos Display Settings > Prices is set to not display taxes","유일하게 유효할수 있을려면 세금 > 주문, 송장, 환불메모 표시 설정 > 가격은 세금을 표시하지 않게 설정됨"
"Grand Total is tax inclusive","총 합계는 세금이 포함되었습니다"
"Display only one Grand Total","총 합계를 하나만 표시"
"Display detailed Tax Summary","Display Detailed Tax Summary"
"Columns","Columns"
"Columns Advanced","Columns Advanced"
"Display Background only on first page","Display Background only on first page"
"Display Page Number","Display Page Number"
"Custom Column","Custom Column"
"Custom Column Attribute","Custom Column Attribute"
"Base Amount","Base Amount"
"Select up to 5 attributes.","Select up to 5 attributes."
"Position","Position"
"Pos","Pos"
"right","Right"
"left","Left"
"Display Pdf in New Window","Display Pdf in New Window"
"Weight Unit","Weight Unit"
"Barcode Type","Barcode Type"
"Pdf Totals Sort Order","Pdf Totals Sort Order"
"Upload Custom Font","Upload Custom Font"
"Don't Use","Don't Use"
"Custom Label Left - Shipping Address","Custom Label Left - Shipping Address"
"Custom Label Right - Shipping Address","Custom Label Right - Shipping Address"
"Custom Label Left - Billing Address","Custom Label Left - Billing Address"
"Custom Label Right - Billing Address","Custom Label Right - Billing Address"
"Display Salesrule instead of Coupon Code","Display Salesrule instead of Coupon Code"
"Combines Gift Wrapping for Orders, Items and Printed Cards","Combines Gift Wrapping for Orders, Items and Printed Cards"
"Sort by Column","Sort by Column"
"Use Alternative Layout","Use Alternative Layout"
"Please make sure the barcode type is appropriate for the content or the pdf generation might fail (Default: CODE 39 EXTENDED + CHECKSUM).","Please make sure the barcode type is appropriate for the content or the pdf generation might fail (Default: CODE 39 EXTENDED + CHECKSUM)."
"Double - Shipping and Store Addresses","Double - Shipping and Store Addresses"
